available;dwellingId;rent;lat;deletedAt;lng;size;rooms;year;month
;102194;13750;55.7411118;16-09-2015;12.4908466;103;4;2015;9
;245993;NA;55.6582909;03-01-2019;12.6322498;76;NA;2019;1
;175983;5000;55.6862373;05-08-2017;12.591692;8;1;2017;8
;100838;25000;55.6877518;21-11-2015;12.5938416;200;4;2015;11
;184237;7500;55.7108154;10-08-2017;12.5754347;58;2;2017;8
;150099;16000;55.6486053;22-11-2016;12.5524931;103;4;2016;11
;154848;15000;55.7422409;16-12-2016;12.5789251;98;4;2016;12
;147098;13050;55.6508751;16-03-2017;12.5991888;87;3;2017;3
;206177;15500;55.6603928;07-12-2017;12.6306791;98;4;2017;12
;250760;12800;55.6532974;;12.5657473;66;NA;1900;1
;234548;30000;55.680706;20-08-2018;12.588769;163;3;2018;8
;223538;23500;55.6798363;19-09-2018;12.5775652;152;NA;2018;9
;68105;18030;55.6609688;11-11-2014;12.5631943;84;3;2014;11
;158404;14300;55.6508751;23-01-2017;12.5991888;105;4;2017;1
;43997;5000;55.6635818;14-05-2014;12.5442944;68;1;2014;5
;191922;13600;55.6509285;26-09-2017;12.5524931;90;3;2017;9
;201535;13500;55.6653519;08-03-2018;12.6235104;84;3;2018;3
;200758;14000;55.650631;14-11-2017;12.4617386;151;5;2017;11
;154507;16662;55.6508751;18-05-2017;12.5991888;129;5;2017;5
;63643;16250;55.7158737;10-11-2014;12.6065216;89;3;2014;11
;201356;3300;55.6837959;13-11-2017;12.536109;8;1;2017;11
;133430;12900;55.6725464;22-07-2016;12.5752802;119;3;2016;7
;67325;9000;55.6952667;03-11-2014;12.5717821;67;2;2014;11
;202147;7500;55.7006989;23-11-2017;12.5497723;58;2;2017;11
;67521;3500;55.7108345;17-11-2014;12.5756226;8;1;2014;11
;69972;14606;55.6790619;18-11-2014;12.5301838;116;4;2014;11
;84321;33000;55.6855888;12-04-2015;12.5868397;204;7;2015;4
;247035;11950;55.6768227;03-01-2019;12.4358139;89;3;2019;1
;102441;5000;55.7106361;02-11-2015;12.5230322;20;1;2015;11
;131576;4000;55.6459351;13-06-2016;12.5260811;9;1;2016;6
;121994;27000;55.6801071;29-06-2016;12.5262146;154;4;2016;6
;250964;26000;55.7211876;15-02-2019;12.5827627;162;4;2019;2
;228069;16230;55.6931305;15-06-2018;12.5522127;104;3;2018;6
;124546;28500;55.7253952;08-04-2016;12.5846834;142;4;2016;4
;192741;20000;55.7462959;02-01-2018;12.4274035;169;6;2018;1
;77801;13963;55.671051;06-02-2015;12.5850163;100;3;2015;2
;144703;6662.5;55.7043457;30-09-2016;12.5459661;39;1;2016;9
;192290;17300;55.6348305;08-01-2018;12.5797195;132;5;2018;1
;187647;5000;55.6862373;09-09-2017;12.591692;16;1;2017;9
;147206;23000;55.7103195;19-11-2016;12.4967499;156;5;2016;11
;184134;7500;55.6517792;31-07-2017;12.4976473;58;2;2017;7
;197033;14750;55.6812363;28-02-2018;12.5727282;76;3;2018;2
;15036;11500;55.7048264;03-02-2013;12.501255;91;3;2013;2
;235459;13000;55.665657;29-11-2018;12.4671421;86;3;2018;11
;100876;6000;55.6716957;19-09-2015;12.5545664;54;1;2015;9
;206047;17000;55.6801949;22-12-2017;12.5761614;94;3;2017;12
;110189;14475;55.6532173;18-11-2015;12.5189695;110;4;2015;11
;45951;4000;55.6724319;14-06-2014;12.5039244;35;1;2014;6
;193826;14500;55.6823502;06-11-2017;12.5133362;97;3;2017;11
;191966;15103.43;55.6526909;12-10-2017;12.5486898;110;4;2017;10
;110328;17700;55.6801071;08-12-2015;12.5262146;103;3;2015;12
;135328;5000;55.6786232;16-07-2016;12.5027657;25;1;2016;7
;192486;14500;55.6979179;14-09-2017;12.5836344;101;4;2017;9
;80453;14900;55.6508751;04-05-2015;12.5991888;97;4;2015;5
;197864;3500;55.6403313;04-12-2017;12.4729767;14;1;2017;12
;103825;11554.26;55.6595345;21-09-2015;12.5709705;83;2;2015;9
;225149;14250;55.7174835;01-02-2019;12.4372997;115;4;2019;2
;110941;3250;55.700367;21-12-2015;12.5085173;12;1;2015;12
;243091;15950;55.6824036;02-01-2019;12.5765724;93;3;2019;1
;249344;14481;55.6886024;;12.5594177;82;NA;1900;1
;123417;4344;55.6813545;22-06-2016;12.5162983;79;3;2016;6
;200384;19657;55.660717;16-02-2018;12.5626621;139;4;2018;2
;97516;10000;55.6862564;13-08-2015;12.5405178;40;2;2015;8
;42245;6000;55.6615562;06-05-2014;12.6133413;65;2;2014;5
;209448;13500;55.6608429;02-02-2018;12.5030899;104;3;2018;2
;153135;14935;55.6202431;16-02-2017;12.5730009;107;4;2017;2
;202558;5333.33;55.6566391;15-11-2017;12.6089802;40;2;2017;11
;109855;13500;55.6862373;11-12-2015;12.591692;72;2;2015;12
;201515;13400;55.6653519;30-11-2017;12.6235104;84;3;2017;11
;203647;14700;55.6629601;21-11-2017;12.6235332;99;3;2017;11
;193370;14832.14;55.6590309;31-01-2018;12.6318798;106;3;2018;1
;182312;13439;55.6569061;09-08-2017;12.5118618;93;3;2017;8
;182903;14950;55.6458321;11-08-2017;12.5539818;112;3;2017;8
;125375;5000;55.6559334;17-05-2016;12.5100775;18;1;2016;5
;182148;12950;55.6490517;04-07-2017;12.5352726;82;3;2017;7
;54360;13900;55.6066208;13-08-2014;12.5942917;152;5;2014;8
;135276;24000;55.6843529;09-09-2016;12.5883074;125;4;2016;9
;78881;4700;55.657959;05-02-2015;12.6337004;15;1;2015;2
;138294;4300;55.6572495;22-09-2016;12.5989857;10;1;2016;9
;193874;12683.61;55.6834412;02-10-2017;12.6155396;92;4;2017;10
;87981;15623;55.7037163;18-08-2015;12.596797;101;3;2015;8
;226422;13500;55.6977615;18-03-2019;12.50529;93;3;2019;3
;127941;6200;55.6872063;15-05-2016;12.5591288;78;3;2016;5
;218004;22500;55.6953201;24-02-2018;12.5964642;86;2;2018;2
;226273;14128;55.6600418;12-09-2018;12.5719204;110;4;2018;9
;222550;10500;55.6348305;11-05-2018;12.5797195;66;2;2018;5
;14349;14000;55.6588707;08-02-2013;12.5700989;100;4;2013;2
;220418;11000;55.6781158;19-03-2018;12.5507526;74;2;2018;3
;198136;5871;55.6791649;24-10-2017;12.5515022;NA;1;2017;10
;84827;5000;55.6538391;16-07-2015;12.5683355;8;1;2015;7
;123607;19850;55.7063293;02-05-2016;12.5940523;128;4;2016;5
;222357;5500;55.7132416;07-04-2018;12.5601587;38;1;2018;4
;141571;4000;55.7112007;12-09-2016;12.5250263;12;1;2016;9
;219145;2500;55.6936951;01-04-2018;12.496418;16;1;2018;4
;104605;14318;55.6605072;15-12-2015;12.629755;101;3;2015;12
;226781;15495;55.6489105;22-05-2018;12.554637;102;4;2018;5
;115681;19500;55.6992111;02-05-2016;12.5935354;110;4;2016;5
;224990;15300;55.7054901;;12.4359903;127;5;1900;1
;158366;3500;55.6603661;22-01-2017;12.6239367;8;1;2017;1
;211359;15300;55.6432304;16-01-2018;12.5845518;105;4;2018;1
;240491;8700;55.6608429;04-10-2018;12.5030899;74;3;2018;10
;105539;12400;55.6598701;13-10-2015;12.511384;84;3;2015;10
;143133;8000;55.687458;26-09-2016;12.5617867;27;1;2016;9
;241266;19500;55.707962;12-12-2018;12.5978975;99;4;2018;12
;1366;28000;55.6862373;20-10-2011;12.591692;214;6;2011;10
